rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
18,"Cai, Yingchun","Cai, Yingchun",Jiangsu Academy of Agricultural Sciences,CN,,,11,,,,,,,1989,2022,,,,
19,Mark Shusterman,Mark Shusterman,Harvard University,US,,9,,1,2,11,,,,2020,2022,,,,
20,"Fouvry, Etienne","Fouvry, Etienne",Centre National de la Recherche Scientifique,FR,,,12,2,,,,,,2012,2012,,,,
21,Ercan Altınışık,Ercan Altinisik,Gazi University,TR,,10,,,2,6,,,,2015,2015,,,,
22,Mehmet E. Yildiz,Mehmet E. Yildiz,Gazi University,TR,,11,,,2,6,,,,2015,2015,,,,
23,Efthymios Sofos,Efthymios Sofos,University of Glasgow,GB,3,,68,5,,,,7,openalex,2019,2025,,,,
24,Murat Demirbüken,Murat Demirbuken,Bilkent University,TR,,12,,,2,6,,,,2015,2015,,,,
25,"Pomerance, Carl","Pomerance, Carl",Dartmouth College,US,,,14,,,,,,,1992,1992,,,,
26,S.W. Drury,S.W. Drury,McGill University,CA,,13,,,2,5,,,,1999,2004,,,,
27,Victor Volfson,Victor Volfson,,,6,14,,3,2,0,,,,2026,2026,,,,
28,"Pintz, J.","Pintz, J.",Alfréd Rényi Institute of Mathematics,HU,,,16,,,,,,,1985,1985,,,,
29,"Elliott, P. D. T. A.","Elliott, P. D. T. A.",University of Colorado Boulder,US,,,18,,,,,,,1966,1999,,,,
30,Gareth A. Jones,Gareth A. Jones,,,1,,116,6,,,,,,2021,2024,,,,
31,"Wu, Jie","Wu, Jie",Hunan Agricultural Products (China),CN,,,19,,,,,,,2022,2022,,,,
32,"Baker, R. C.","Baker, R. C.",Brigham Young University,US,,,20,,,,,,,2017,2017,,,,
33,Runbo Li,Runbo Li,,,7,,,3,,,,,,2023,2026,,,,
34,"Zhao, Liangyi","Zhao, Liangyi",UNSW Sydney,AU,,,21,1,,,,,,2022,2024,,,,
35,"Mollin, Richard A.","Mollin, Richard A.",,,,,23,,,,,,,,,,,,
36,"Goldston, D. A.","Goldston, D. A.",San Jose State University,US,,,24,,,,,,,1990,2023,,,,
37,"Tenenbaum, Gérald","Tenenbaum, Gerald",Institut Élie Cartan de Lorraine,FR,,,25,,,,,,,2006,2023,,,,
38,Alexander K. Zvonkin,Alexander K. Zvonkin,,,2,,159,5,,,,,,2021,2023,,,,
